Legal Name,Contract Name,Services Included in Services Contract,Name of Services Contract,Vubiquity Party to Service(s) Contract,Territory(ies) Included in Contract,Applicable Countries,Territory Notes
"TELEVISION INTERNACIONAL, S. A. DE C. V.",Cablevision Monterrey - VOD Services Agreement - Services,"Content Processing, PPV, TVOD",z_VOD Services Agreement,ODM,Mexico,MEXICO:Mexico,
Cablevision S.A.,Cablevision S.A. - Services Agreement - Services,"PPV, SVOD, TVOD",z_VOD Services Agreement,ODG,LATAM,LATAM:Argentina,
CBS International Television (SVOD - MENA),CBS (MENA) - 2014 VOD Term Sheet - Working Draft - Services,SVOD,Term Sheet (non-binding),Avail Medya Dijital Hizmetleri Ltd. Sti. (AMDH),"Africa, MENA",,Territory: Middle East and North Africa 
CBS International Television - (SVOD - SEE),CBS (SEE) - 2014 VOD Term Sheet - Working Draft - Services,SVOD,Term Sheet (non-binding),Vubiquity Management Limited,SEE,,"Territory:  Greece, Cyprus, Malta, Serbia, Slovenia, Bosnia, Croatia, Bulgaria"
CBS International Television (SVOD - Turkey),CBS (Turkey) - 2014 VOD Term Sheet - Working Draft - Services,SVOD,Term Sheet (non-binding),Avail Medya Dijital Hizmetleri Ltd. Sti. (AMDH),Turkey,TURKEY:Turkey,Territory:  Turkey
CDC International S.A.R.L,CDC -  Amdt 1 to 2014 TVOD/PPV Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"Latin America including the Bahamas and the Caribbean (except as outlined in Schedule 1)

Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus
Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory"")"
CDC International S.A.R.L,CDC -  Amdt 2 to 2014 TVOD/PPV Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"Latin America including the Bahamas and the Caribbean (except as outlined in Schedule 1)

Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus
Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory"")"
CDC International S.A.R.L,CDC -  Amdt 3 to 2014 TVOD/PPV Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"Latin America including the Bahamas and the Caribbean (except as outlined in Schedule 1)

Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus
Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory"")"
CDC International S.A.R.L,CDC -  Amdt 4 to 2014 TVOD/PPV Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"Latin America including the Bahamas and the Caribbean (except as outlined in Schedule 1)

Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus
Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory"")"
CDC International S.A.R.L,CDC -  Amdt 5 to 2014 TVOD/PPV Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"Latin America including the Bahamas and the Caribbean (except as outlined in Schedule 1)

Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus
Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory"")"
CDC International S.A.R.L,CDC -  Amdt 6 to 2014 TVOD/PPV Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"Latin America including the Bahamas and the Caribbean (except as outlined in Schedule 1)

Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus
Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory"")"
CDC International S.A.R.L,CDC -  Amdt 7 to 2014 TVOD/PPV Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"Latin America including the Bahamas and the Caribbean (except as outlined in Schedule 1)

Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus
Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory"")"
CDC International S.A.R.L,CDC -  Amdt 8 to 2014 TVOD/PPV Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"Latin America including the Bahamas and the Caribbean (except as outlined in Schedule 1)

Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus
Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory"")"
CDC International S.A.R.L,CDC -  Amdt 9 to 2014 TVOD/PPV Content License Agrmt - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"Latin America including the Bahamas and the Caribbean (except as outlined in Schedule 1)

Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus
Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory"")"
CDC United Network S.A.,CDC - Admt 1 to 2013 TVOD/PPV Licensing Agrmt - Who's Dayni Crystal - Services,"PPV, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM, United States",,And French West Indies and the Netherlands Antilles.
CDC United Network S.A.,CDC - Amdt 2 to 2013 TVOD/PPV Licensing Agrmt - Millionaire Dog - Services,"PPV, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM, United States",,And French West Indies and the Netherlands Antilles.
CDC United Network S.A.,CDC - Amdt 3 to 2013 TVOD/PPV Licensing Agrmt - Daughter of God - Services,"PPV, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM, United States",,And French West Indies and the Netherlands Antilles.
CDC International S.A.R.L,CDC International S.A.R.L - 2014 TVOD/PPV Content License Agreement - Services,TVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"Latin America including the Bahamas and the Caribbean (except as outlined in Schedule 1)

Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus
Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory"")"
CDC United Network S.A.,CDC United Networks - 2014 Content Services - Services,Content Processing,z_VOD Services Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,Territory means Latin America including the Bahamas and the Caribbean
CDC United Network S.A.,CDC United Networks S.A. - 2013 TVOD/PPV Licensing Agreement - Services,"PPV, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM, United States",,And French West Indies and the Netherlands Antilles.
Cedars Art Production S.A,Cedars Art - 2012 VOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Africa, Asia, LATAM, MENA, North America",,
Cedars Art Production S.A,Cedars Art - Amendment #1 to the 2012 VOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Africa, Asia, LATAM, MENA, North America",,
Cedars Art Production S.A,Cedars Art - Amendment #2 to the 2012 VOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, LATAM, MENA, North America",,
Cedars Art Production S.A,Cedars Art - Amendment #3 to the 2012 VOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, LATAM, MENA, North America",,
Cedars Art Production S.A,Cedars Art - Amendment #4 to the 2012 VOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, LATAM, MENA, North America",,
CELL C PTY Limited,Cell C - Linear International Sales Order - Services,Linear,Transport-Only Services Agreement (TOSA),Vubiquity Management Limited,Africa,AFRICA:South Africa,
CELL C PTY Limited,Cell C - VOD International Sales Order - Amend 1 - Services,"EST, OTT, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,Africa,AFRICA:South Africa,
CELL C PTY Limited,Cell C - VOD International Sales Order - Amended VOD Agrmt - Services,"EST, OTT, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,Africa,AFRICA:South Africa,
Cellcom Israel Ltd.,Cellcom - VOD International Sales Order - Amend 7 - Services,"Content Processing, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,SEE,,
Central City Media Ltd,Century City (Multi-Territory) - 2019 EST/TVOD Content License Agreement,"EST, TVOD",z_VOD Content License Agreement,,"Africa, Asia, Caribbean, Europe, LATAM, MENA, SEE","ASIA:Israel, EUR:Channel Islands, EUR:Ireland, EUR:Isle of Man, EUR:United Kingdom","UK & Eire: United Kingdom of Great Britain and Northern Ireland, Channel Islands and Isle of Man

Latin America/Caribbean

Africa"
Channel Four Telelvision Corporation (FilmFlex),Channel 4 (FilmFlex) - 2010 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the United Kingdom, the Republic of Ireland, the Channel Islands and the Isle of Man."
Channel Four Telelvision Corporation (FilmFlex),Channel 4 (FilmFlex) - Amendment #1 to 2010 VOD Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the United Kingdom, the Republic of Ireland, the Channel Islands and the Isle of Man."
Channel Four Telelvision Corporation (FilmFlex),Channel 4 (FilmFlex) - Amendment #2 to 2010 VOD Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"""The Territory for which the Rights are granted under this Agreement shall be the United
Kingdom, the Channel Islands and solely in respect of the CWC Service, the Isle of Man shall
be included and solely in respect of Eircom, the Republic of Ireland shall be included."""
Channel Four Telelvision Corporation (FilmFlex),Channel 4 (FilmFlex) - Extension #1 to 2010 VOD Content License Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the United Kingdom, the Republic of Ireland, the Channel Islands and the Isle of Man."
Channel 4 Television Corporation,Channel 4 (FilmFlex) - VOD Sales Order - Amend #3 - Services,TVOD,z_VOD Services Agreement,FilmFlex,Europe,,Adds Isle Of Man
Channel 4 Television Corporation,Channel 4 (FilmFlex) - VOD Sales Order - Extension #1 - Services,TVOD,z_VOD Services Agreement,FilmFlex,Europe,,Adds Isle Of Man
Channel 4 Television Corporation,Channel 4 (FilmFlex) - VOD Sales Order - Services,TVOD,z_VOD Services Agreement,FilmFlex,Europe,,
Cinephil - Philippa Kowarsky Productions ltd,Cinephil (Israel) - 2017 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"Israel including Jerusalem, Gaza and the West Bank. "
Cinephil - Philippa Kowarsky Productions ltd,Cinephil (Israel) - Amdt#1 to 2017 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,"Israel including Jerusalem, Gaza and the West Bank. "
City Records Ltd,City Records - 2011 License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Europe, SEE",,
City Records Ltd,City Records - License Agreement - Letter Amendment - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Europe, SEE",,
Cohen Film (Israel - SVOD),Cohen Film (Israel) - 2018 Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel and the West Bank
Colgems Productions Limited (Sony - MENA - SVOD),Colgems (MENA) - 2015 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,,"United Arab Emirates, Oman, Qatar and Kuwait"
Colgems Productions Limited (Sony - MENA - SVOD),Colgems (MENA) - 2018 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,"ASIA:Oman, ASIA:Qatar, ASIA:United Arab Emirates","United Arab Emirates, Oman, Qatar"
